epoch,train_loss,val_loss,val_accuracy
1,0.2612256646408873,0.0818123442431291,0.9738145789101204
2,0.05620203533349295,0.02875141046372139,0.9907997169143666
3,0.03071578818562146,0.02131947185844183,0.9936305732484076
4,0.010134026178324564,0.03629095668050771,0.9907997169143666
5,0.01199331139186384,0.026171006658922934,0.9886765746638358
6,0.010226195364385465,0.04353731735108239,0.9907997169143666
7,0.00641417067691501,0.021837404171108372,0.9907997169143666
8,0.0030113466124987234,0.016613711784561423,0.9922151450813871
9,0.0014038841617738434,0.03727179551755803,0.9858457183297947
10,0.0016131835807775678,0.021509145789120037,0.9922151450813871
11,0.003197112331115233,0.02204442839380742,0.9922151450813871
12,0.00044771732940573027,0.021474500947725676,0.9936305732484076
13,0.0002104639058575359,0.01781669925540983,0.9929228591648974
14,0.00015941585393270313,0.018208439309455572,0.9943382873319179
15,0.00019875983845829434,0.019475880784294634,0.9943382873319179
16,0.0001809683535663223,0.020546896772713,0.9936305732484076
17,0.0001370071736423366,0.01795145059388435,0.9950460014154282
18,9.700719816608573e-05,0.017503238471302515,0.9936305732484076
19,0.00010570665618117325,0.018756188785320975,0.9936305732484076
20,8.73491407255231e-05,0.018441876356033997,0.9943382873319179
21,9.636665317422307e-05,0.018792006595504063,0.9950460014154282
22,0.00013715150428544217,0.01965389721238656,0.9936305732484076
23,0.00014401408852123074,0.019784998090189118,0.9943382873319179
24,8.140492374394787e-05,0.018560968198976804,0.9936305732484076
25,0.00020295112287544855,0.02177437654316034,0.9936305732484076
